ids,price
22235416.0,379
325842.0,379
31808272.0,386
39888960.0,87
28203937.0,87
2688739.0,87
33376773.0,87
21568743.0,87
29509800.0,87
21783531.0,87
19549132.0,87
37540495.0,87
18549584.0,87
5480976.0,87
34021426.0,87
27966580.0,87
6750168.0,87
37252888.0,87
17482585.0,87
21486716.0,87
18928220.0,87
29575937.0,87
34568002.0,87
40733219.0,87
21436420.0,87
21536645.0,87
34720003.0,87
30085863.0,87
39961577.0,87
26820108.0,87
30559918.0,87
32638070.0,87
39966747.0,87
21925950.0,87
27878561.0,153
1732652.0,153
39769071.0,153
38346865.0,153
33634931.0,153
35325594.0,153
28306973.0,153
15024671.0,153
23442733.0,635
35260311.0,635
15677440.0,147
29818213.0,147
28609896.0,147
34383951.0,147
40175226.0,147
22208093.0,147
38091553.0,93
38678881.0,93
18291879.0,93
38679145.0,93
18422910.0,93
32236235.0,93
17824940.0,93
34995696.0,93
15142737.0,93
32310418.0,93
21696464.0,93
15374359.0,93
28695385.0,93
29947578.0,93
21525948.0,93
7176158.0,93
14969057.0,190
20307970.0,190
8747106.0,190
31882247.0,190
32666311.0,190
39365453.0,190
28749.0,190
39396272.0,190
3315701.0,190
38648344.0,190
6499322.0,190
40267839.0,190
19087168.0,44
31718914.0,44
10100835.0,44
25949955.0,44
7075266.0,44
27635399.0,44
33344522.0,44
32065323.0,44
38952811.0,44
19662762.0,44
13165391.0,44
30449167.0,44
36318260.0,44
28933748.0,44
38044470.0,44
36599991.0,44
20524028.0,44
39676893.0,44
40299939.0,44
14141861.0,44
25093286.0,44
38354793.0,44
30446218.0,44
39079244.0,44
26002254.0,44
37797841.0,44
21220279.0,44
39950517.0,44
35972631.0,44
40739002.0,44
37253277.0,44
27467936.0,50
14166242.0,50
32046211.0,50
21748100.0,50
17383973.0,50
16178088.0,50
4133737.0,50
20053035.0,50
3061036.0,50
15116366.0,50
22752271.0,50
32763376.0,50
1183249.0,50
11180658.0,50
25364755.0,50
31567604.0,50
32257969.0,50
19532918.0,50
32769505.0,50
36272709.0,50
33010088.0,50
30313225.0,50
20457194.0,50
14058443.0,50
29545196.0,50
26776616.0,50
22636078.0,50
18785874.0,50
14090131.0,50
17795412.0,50
29392758.0,50
17147256.0,50
5847065.0,50
23684890.0,50
6991262.0,50
38836319.0,50
26814049.0,50
34288514.0,50
30976034.0,50
31088966.0,50
24222407.0,50
36631273.0,50
6588681.0,50
38206444.0,50
36447597.0,50
30674961.0,50
7783924.0,50
18152764.0,50
36506136.0,50
8276761.0,50
24359676.0,50
22681695.0,50
14437950.0,50
19242207.0,50
29490593.0,50
40674594.0,50
13656154.0,50
19943846.0,50
36810181.0,50
6830348.0,50
27607085.0,50
26715790.0,50
26253486.0,50
18769456.0,50
33358063.0,50
29311507.0,50
30446996.0,50
29385780.0,50
18670873.0,50
20379610.0,50
20286462.0,50
36444639.0,50
17424708.0,50
35908516.0,50
24889802.0,50
35605226.0,50
36447468.0,50
20458572.0,50
38870766.0,50
1428589.0,50
38158030.0,50
12022257.0,50
20036818.0,50
37664019.0,50
14057684.0,50
20857204.0,50
35579703.0,50
38978906.0,50
39672315.0,50
38468765.0,50
2874467.0,50
40755363.0,50
27987717.0,50
29359494.0,50
36561386.0,50
21814989.0,50
27133454.0,50
26403282.0,50
21801779.0,50
27607283.0,50
25690485.0,50
363702.0,50
38704727.0,50
13529171.0,50
27830773.0,50
14487772.0,50
26638174.0,50
19496735.0,50
40174522.0,50
40964130.0,50
40655587.0,50
27708003.0,50
39437061.0,50
36143654.0,50
4359719.0,50
33438071.0,50
30477805.0,50
7414801.0,50
22586737.0,50
39538709.0,50
27980378.0,50
35118359.0,50
30480255.0,50
36482778.0,50
8652541.0,50
40524511.0,50
36062338.0,50
26279683.0,50
41039012.0,50
39251077.0,50
28778822.0,50
39410275.0,50
35884009.0,50
40636747.0,50
37878925.0,50
40059343.0,50
39781039.0,50
34790065.0,50
33043700.0,50
36446549.0,50
8011960.0,50
40619449.0,50
27031481.0,50
25026301.0,50
6344612.0,50
40037349.0,50
34434981.0,50
12243431.0,50
41039677.0,50
19662590.0,50
24620399.0,50
38121744.0,50
35425137.0,50
38920372.0,50
30531765.0,50
22588022.0,50
25478678.0,50
40078965.0,50
19363258.0,50
37392797.0,50
35317694.0,50
37530463.0,50
38334331.0,50
40825412.0,50
33262185.0,50
39438060.0,50
8780493.0,50
37564974.0,50
17137900.0,50
28624435.0,50
40766772.0,50
40489333.0,50
37490294.0,50
32338455.0,50
28540632.0,50
21295315.0,50
39582842.0,50
33374491.0,50
31493373.0,50
9235710.0,50
29014720.0,50
33684515.0,50
35987045.0,50
33270697.0,50
24582570.0,50
16731113.0,50
33155594.0,50
35917897.0,50
14041642.0,50
5812687.0,50
37778031.0,50
14473491.0,50
24625012.0,50
5651414.0,50
21254103.0,50
4417718.0,50
35164025.0,50
35010203.0,50
40668669.0,50
12541151.0,50
7174786.0,50
39392454.0,50
31173958.0,50
40372553.0,50
28386618.0,50
39392686.0,50
5126751.0,50
805936.0,50
40923761.0,50
35258128.0,50
15233684.0,50
35349048.0,50
37691770.0,50
40373627.0,50
23376509.0,50
40372959.0,50
39501309.0,50
5048385.0,50
40234823.0,50
29929446.0,50
37933545.0,50
25307850.0,50
29906861.0,50
33245486.0,50
24784143.0,50
36242736.0,50
31239469.0,50
20357970.0,50
18976820.0,50
34945879.0,50
31827645.0,50
34505822.0,50
38601344.0,50
4258145.0,50
39399713.0,50
40897184.0,50
6059776.0,50
8555593.0,50
34065452.0,50
38103887.0,50
37986800.0,50
40723825.0,50
681842.0,50
40093554.0,50
35864250.0,50
11636377.0,50
7854234.0,50
36263867.0,50
1046494.0,50
40920127.0,50
33691801.0,50
35249892.0,50
38940359.0,50
33830473.0,50
2051690.0,50
36108617.0,50
35250825.0,50
33498221.0,50
9174414.0,50
6572020.0,50
40211093.0,50
16588056.0,50
38541721.0,50
3783099.0,50
39540095.0,50
23359494.0,184
32305192.0,184
22208495.0,184
23350043.0,184
35260349.0,184
18822176.0,78
37298081.0,78
15599810.0,78
14085597.0,78
17389190.0,78
27639463.0,78
23484393.0,78
23526921.0,78
27965387.0,78
585356.0,78
39185999.0,78
39112656.0,78
39968049.0,78
25869554.0,78
34145873.0,78
15405332.0,78
10548699.0,78
39415933.0,78
8735904.0,78
38978754.0,78
15510564.0,78
38628229.0,78
40503750.0,78
39081432.0,78
39081608.0,78
38978921.0,78
27801487.0,78
39081299.0,78
39081107.0,78
32046743.0,78
9023960.0,78
18325753.0,78
39499710.0,78
39499903.0,78
12288736.0,78
12904781.0,78
39088461.0,78
11874353.0,78
4644849.0,78
37254490.0,78
17864251.0,78
36095198.0,78
38870072.0,999
41118135.0,999
29798624.0,225
41160569.0,225
39485026.0,225
38996769.0,225
9453381.0,225
32139014.0,225
2510602.0,225
20516011.0,225
34249676.0,225
16125516.0,225
39003021.0,225
37995534.0,225
23377170.0,225
38644435.0,225
14631349.0,225
17421433.0,225
39551134.0,225
20479262.0,225
18459066.0,225
12536610.0,225
25530515.0,225
34123559.0,225
36892594.0,231
17071648.0,219
39414465.0,219
21488226.0,219
6431138.0,219
8409827.0,219
25370231.0,219
18854028.0,219
22752588.0,219
16742255.0,219
6868881.0,219
36804691.0,219
7244885.0,219
33040726.0,219
35192887.0,219
6731994.0,219
30066652.0,219
21489706.0,580
24676630.0,582
35490664.0,233
9681972.0,233
33518723.0,810
40870912.0,46
23293249.0,46
26898273.0,46
21255588.0,46
35492873.0,46
1127661.0,46
20420859.0,46
38607346.0,46
6782452.0,46
25837557.0,46
16085942.0,46
34675095.0,46
28863800.0,46
18094969.0,46
34941434.0,46
27547611.0,46
36114940.0,46
31565885.0,46
9403751.0,46
32979608.0,192
38896659.0,192
35942729.0,186
25785138.0,186
1321332.0,186
36275869.0,186
33932480.0,52
24979812.0,52
39134724.0,52
40591622.0,52
739495.0,52
7025225.0,52
585353.0,52
27329161.0,52
5210927.0,52
40263536.0,52
40232559.0,52
26136383.0,52
15492694.0,52
23398748.0,52
30594135.0,52
7901691.0,52
13189052.0,52
20482751.0,52
36899692.0,52
22706699.0,52
12852276.0,52
24066662.0,52
12361824.0,179
25475169.0,179
24752801.0,179
9610654.0,179
33393188.0,179
13451748.0,179
31056868.0,179
36844267.0,179
13390160.0,179
7097488.0,179
16882322.0,179
12037587.0,179
34016753.0,179
29361875.0,179
34364374.0,179
32637624.0,179
37363326.0,179
7600001.0,151
33788937.0,151
21262506.0,151
34686383.0,151
21524818.0,151
38157364.0,151
37354679.0,151
34887928.0,151
40908860.0,151
11588575.0,151
25292921.0,85
27201539.0,85
34173702.0,85
27100328.0,85
28982045.0,85
10992395.0,85
40402187.0,85
3783533.0,85
6612044.0,85
11923150.0,85
12170773.0,85
4173269.0,85
8070936.0,85
6990105.0,85
18209082.0,85
24940061.0,85
1356190.0,85
21968794.0,85
22886177.0,85
36293378.0,85
36141541.0,85
2093894.0,85
2479175.0,85
21204267.0,85
23799502.0,85
22230033.0,85
28187090.0,85
14371699.0,85
